Actual	Nuevo
2.3	0.5
1.9	0.5
2	0.5
2.9	0.5
1.9	0.5
1.9	0.5
2.7	0.5
2.9	0.5
2.1	0.5
4	0.5
2.2	0.5
2.8	0.5
6	3.1
2.9	0.5
9.7	10.5
5.7	4.5
10.7	9.8
4.9	3.2
12.6	10.8
5.2	3.2
8.3	5.1
4.3	1.5
10.9	11.4
5.3	3.1
8.5	7.1
4.3	2.2
5.2	3.6
2.7	0.5
10.8	8.8
6.7	5.3
12.7	13.5
5.7	4.4
2.6	0.5
2.2	0.5
2.5	0.5
3.2	0.9
4.9	2.4
2.4	0.5
8.1	6.3
4.4	1.9
15.7	15.2
7.6	6.1
11.6	10.9
10.4	8.1
20.1	19.8
11.2	9.8
14.6	13.9
5.8	4.1
25	20
9.8	7.4
9.4	10.1
10.2	10.8
14.6	14.1
7.2	6.5
16.7	16.1
7.6	6.5
18.4	18.1
10.4	8.2
18.9	18.3
6.7	5.4
20	19.8
10.1	11
25	20
15.4	15
16.2	15.8
12.7	10.9
