Encuestado,Sexo,Rango de edad,PL1,PL2,PL3,PL4,PL5,PC1,PC2,PC3,PC4,PC5,PCom1,PCom2,PCom3,PCom4,PCom5,PCE1,PCE2,PCE3,PCE4,PCE5,PEF1,PEF2,PEF3,PI1,PI2,PI3,PI4,PI5,PI6
Encuestado 1,H,40-50,1,1,1,1,2,2,2,2,3,1,2,3,2,2,2,3,2,3,3,3,2,3,3,1,2,2,2,2,2
Encuestado 2,M,40-50,2,1,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,1,1,1,1
Encuestado 3,M,>50,1,2,2,2,1,1,2,2,3,1,2,2,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1
Encuestado 4,H,20-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Encuestado 5,M,40-50,1,1,3,1,1,2,2,2,2,1,1,1,1,1,2,2,1,3,3,2,2,1,1,1,2,1,1,1,1
Encuestado 6,H,20-30,1,1,1,2,1,2,1,2,2,1,2,1,1,1,1,2,2,2,2,2,1,2,2,1,1,1,1,1,2
Encuestado 7,M,40-50,1,1,3,1,1,1,3,2,3,1,1,1,1,1,1,2,1,2,2,3,2,2,2,1,1,1,1,1,1
Encuestado 8,M,40-50,2,1,2,1,2,2,2,2,3,2,1,1,1,2,2,3,3,3,3,3,2,2,2,2,3,3,3,3,3
Encuestado 9,H,40-50,1,1,1,1,1,2,1,1,2,1,1,2,2,1,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2
Encuestado 10,M,40-50,1,1,2,2,1,2,2,1,2,1,1,2,1,3,2,2,1,2,2,2,1,1,1,2,3,1,1,1,1
Encuestado 11,M,40-50,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,3,2,2,1,2,2,2,2
