"Calidad" "Aroma" "Cuerpo" "Sabor" "Region"
9.8 3.3 2.8 3.1 1
12.6 4.4 4.9 3.5 1
11.9 3.9 5.3 4.8 1
11.1 3.9 2.6 3.1 1
13.3 5.6 5.1 5.5 1
12.8 4.6 4.7 5 1
12.8 4.8 4.8 4.8 1
12 5.3 4.5 4.3 1
13.6 4.3 4.3 3.9 3
13.9 4.3 3.9 4.7 1
14.4 5.1 4.3 4.5 3
12.3 3.3 5.4 4.3 2
16.1 5.9 5.7 7 3
16.1 7.7 6.6 6.7 3
15.5 7.1 4.4 5.8 3
15.5 5.5 5.6 5.6 3
13.8 6.3 5.4 4.8 3
13.8 5 5.5 5.5 3
11.3 4.6 4.1 4.3 1
7.9 3.4 5 3.4 2
15.1 6.4 5.4 6.6 3
13.5 5.5 5.3 5.3 3
10.8 4.7 4.1 5 2
9.5 4.1 4 4.1 2
12.7 6 5.4 5.7 3
11.6 4.3 4.6 4.7 2
11.7 3.9 4 5.1 1
11.9 5.1 4.9 5 2
10.8 3.9 4.4 5 2
8.5 4.5 3.7 2.9 2
10.7 5.2 4.3 5 2
9.1 4.2 3.8 3 1
12.1 3.3 3.5 4.3 1
14.9 6.8 5 6 3
13.5 5 5.7 5.5 1
12.2 3.5 4.7 4.2 1
10.3 4.3 5.5 3.5 1
13.2 5.2 4.8 5.7 1
