Team,W,D,L,GF,GA,GD
Liverpool,32,3,3,85,33,52
Man. City,26,3,9,102,35,67
Man. United,18,12,8,66,36,30
Chelsea,20,6,12,69,54,15
Leicester City,18,8,12,67,41,26
Tottenham,16,11,11,61,47,14
Wolves,15,14,9,51,40,11
Arsenal,14,14,10,56,48,8
Sheffield United,14,12,12,39,39,0
Burnley,15,9,14,43,50,-7
Southampton,15,7,16,51,60,-9
Everton,13,10,15,44,56,-12
Newcastle,11,11,16,38,58,-20
Crystal Palace,11,10,17,31,50,-19
Brighton,9,14,15,39,54,-15
West Ham,10,9,19,49,62,-13
Aston Villa,9,8,21,41,67,-26
Bournemouth,9,7,22,40,65,-25
Watford,8,10,20,36,64,-28
Norwich City,5,6,27,26,75,-49
