name    hurdles    highjump    shot    run200m    longjump    javelin    run800m
Aguilar(COL)    13.84    1.74   13.60    24.12    6.23    46.90    134.32
Broersen(NED)    13.56    1.77    14.04    24.94    6.15    50.80    137.55
Cachova(CZE)    13.19    1.77    12.38    24.32    5.91	37.77    138.95
Chefer(BRA)    14.24    1.68    13.06    24.11    6.10    45.05    134.20
Dadic(AUT)    13.84    1.77    13.43    24.60    6.05    46.08    135.64
Ennis-Hill(GBR)    12.84    1.89    13.86    23.49    6.34    46.06    129.07
Felix(PR)    14.07    1.68    11.36    24.74    6.22    40.17    135.32
Ikauniece-Admidina(LAT)    13.33    1.77    13.52    23.76    6.12    55.93    129.43
Johnson-Thompson(GBR)    13.48    1.98    11.68    23.26    6.51    36.36    130.47
Jones(BAR)    13.00    1.89    14.09    24.35    6.30    42.00    161.12
Kasyanova(UKR)    13.66    1.77    13.25    24.60    5.88    39.10    136.58
Klucinova(CZE)    14.07    1.80    14.41    25.37    6.08    46.73    142.81
Krizsan(HUN)    13.66    1.77    13.78    25.24    6.08    49.78    133.46
Miller-Koch(USA)    13.56    1.80    12.91    24.97    6.16    40.25    126.82
Nana-Djimou(FRA)    13.37    1.77    14.88    25.07    6.43    48.76    140.36
Nwaba(USA)    13.81    1.83    14.81    24.77    5.81    46.85    131.61
Oeser(GER)    13.69    1.86    14.28    24.99    6.19    47.22    133.82
Rath(GER)    13.63    1.74    12.83    24.48    6.55    39.39    127.22
Rodríguez(CUB)    13.61    1.86    13.69    24.26    6.25    48.89    134.65
Schafer(GER)    13.12    1.83    14.57    23.99    6.20    47.99    136.52
Theisen-Eaton(CAN)    13.18    1.86    13.45    24.18    6.48    47.36	129.50
Thiam(BEL)    13.56    1.98    14.91    25.10    6.58    53.13    136.54
Vetter(NED)    13.47    1.77    14.78    23.93    6.10    48.42    137.71
Visser(NED)    13.02    1.68    12.84    24.34    6.35    42.48    134.47
Williams(USA)    13.04    1.83    11.21    24.09    6.31    40.93    136.24
Yfantidou(GRE)    13.99    1.65    12.97    26.32    5.51    54.57    150.08
Zsivoczky-Farkas(HUN)    13.79    1.86    14.39    25.38    6.31    48.07    131.76
