"countries" "countries_short" "Labour.market.insecurity.Total" "Stakeholder.engagement.for.developing.regulations.Total" "Dwellings.without.basic.facilities.Total" "Housing.expenditure.Total" "Feeling.safe.walking.alone.at.night.Total" "Feeling.safe.walking.alone.at.night.Men" "Feeling.safe.walking.alone.at.night.Women" "Rooms.per.person.Total" "Household.net.adjusted.disposable.income.Total" "Household.net.wealth.Total" "Employment.rate.Total" "Employment.rate.Men" "Employment.rate.Women" "Long.term.unemployment.rate.Total" "Long.term.unemployment.rate.Men" "Long.term.unemployment.rate.Women" "Personal.earnings.Total" "Quality.of.support.network.Total" "Quality.of.support.network.Men" "Quality.of.support.network.Women" "Quality.of.support.network.High" "Quality.of.support.network.Low" "Educational.attainment.Total" "Educational.attainment.Men" "Educational.attainment.Women" "Student.skills.Total" "Student.skills.Men" "Student.skills.Women" "Student.skills.High" "Student.skills.Low" "Years.in.education.Total" "Years.in.education.Men" "Years.in.education.Women" "Air.pollution.Total" "Water.quality.Total" "Water.quality.Men" "Water.quality.Women" "Voter.turnout.Total" "Life.expectancy.Total" "Life.expectancy.Men" "Life.expectancy.Women" "Self.reported.health.Total" "Self.reported.health.Men" "Self.reported.health.Women" "Self.reported.health.High" "Self.reported.health.Low" "Life.satisfaction.Total" "Life.satisfaction.Men" "Life.satisfaction.Women" "Life.satisfaction.High" "Life.satisfaction.Low" "Homicide.rate.Total" "Homicide.rate.Men" "Homicide.rate.Women" "Employees.working.very.long.hours.Total" "Employees.working.very.long.hours.Men" "Employees.working.very.long.hours.Women" "Time.devoted.to.leisure.and.personal.care.Total" "Time.devoted.to.leisure.and.personal.care.Men" "Time.devoted.to.leisure.and.personal.care.Women"
"Australia" "AUS" 3.1 2.7 NA 19.4 67 81 54 NA 37433 528768 73 77 69 1 1 1.1 55206 93 93 94 96 93 84 84 84 499 495 503 549 460 20 20 21 6.7 92 93 91 92 83 80.9 85 85 85 86 93 84 7.1 7.1 7.2 7.4 7 0.9 1.3 0.6 12.5 18.5 6.1 14.36 14.8 13.65
"Austria" "AUT" 2.3 1.3 0.8 20.8 86 89 82 1.6 37001 309637 72 76 68 1.3 1.5 1.2 53132 92 92 93 96 92 86 88 83 491 489 493 533 440 17 17 17 12.2 92 91 92 76 82 79.7 84.2 71 72 71 83 61 7.2 7.1 7.3 7.6 7.2 0.5 0.5 0.5 5.3 8.1 2.4 14.51 14.7 14.31
"Belgium" "BEL" 2.4 2 0.7 20 56 66 47 2.1 34884 447607 65 68 61 2.3 2.5 2.1 54327 90 92 87 94 88 80 78 81 500 499 501 550 440 19 19 20 12.8 79 81 77 88 82.1 79.8 84.3 74 76 72 87 57 6.8 6.9 6.8 7.2 6.7 1.1 1.4 0.8 4.3 5.8 2.6 15.52 15.6 15.33
"Canada" "CAN" 3.8 2.9 0.2 22.9 78 88 67 2.6 34421 478240 70 73 67 0.5 0.6 0.4 55342 93 93 93 94 93 92 91 94 517 512 521 553 485 17 17 17 7.1 90 94 87 68 82.1 80 84.2 89 90 88 93 81 7 7 7 7.3 6.9 1.2 1.8 0.7 3.3 5.3 1.2 14.57 14.6 14.47
"Czech Republic" "CZE" 2.3 1.6 0.5 23.4 77 88 67 1.5 26664 NA 74 81 67 0.6 0.5 0.6 29885 96 95 97 99 96 94 95 93 495 490 501 544 439 18 17 18 17 89 93 86 62 79.3 76.4 82.2 62 64 61 84 40 6.9 6.9 6.9 7.6 6.9 0.7 0.8 0.6 4.5 6.7 2 NA NA NA
"Denmark" "DNK" 4.5 2 0.5 23.3 85 94 77 1.9 33774 149864 74 77 71 0.9 0.7 1.2 58430 95 93 97 95 95 82 80 83 501 496 506 540 462 19 19 20 10 93 93 92 85 81.5 79.5 83.5 70 72 67 82 62 7.5 7.4 7.6 7.6 7.5 0.5 0.7 0.4 1.1 2.1 0.1 NA NA NA
"Finland" "FIN" 2.2 2.2 0.4 23.1 88 96 80 1.9 33471 230032 72 74 71 1.2 1.3 1.1 46230 96 94 98 100 97 91 89 94 516 503 530 562 483 20 19 20 5.5 97 96 97 69 82.1 79.3 84.8 68 69 68 82 54 7.9 7.7 8.1 8.5 7.9 1.2 1.8 0.7 3.6 5.2 2.1 15.17 15.3 15.05
"France" "FRA" 3.1 2.1 0.5 20.7 74 78 70 1.8 34375 298639 65 68 62 2.9 3 2.9 45581 94 92 96 97 95 81 81 82 494 490 497 550 443 17 16 17 11.4 78 78 79 75 82.9 79.9 85.9 67 69 65 72 58 6.7 6.8 6.7 7 6.7 0.4 0.6 0.3 7.7 10.2 5.2 16.2 16.4 15.92
"Germany" "DEU" 1.4 1.8 0.1 20 76 83 69 1.8 38971 304317 77 80 73 1.2 1.4 1 53745 90 91 89 91 90 86 87 86 500 497 504 564 450 18 18 18 12 91 90 92 76 81.4 79 83.7 66 66 65 80 49 7.3 7.4 7.3 7.8 7.2 0.4 0.4 0.3 3.9 5.7 1.8 15.62 15.7 15.57
"Greece" "GRC" 21.7 1.8 0.4 21.8 69 79 59 1.2 20791 148323 56 65 47 10.8 8.8 13.4 27207 78 77 79 86 77 76 75 78 453 445 462 502 417 19 19 19 14.5 67 69 66 58 81.7 79.2 84.2 79 81 77 87 78 5.8 6 5.6 6.5 5.7 1 1.6 0.4 4.5 6.1 2.5 15.03 15.4 14.78
